CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQualityCategory
1.6,961.0,9.0,938.0,118.0,911.0,101.0,1507.0,846.0,34.5,18.9,1.0168,Moderate
0.8,937.0,5.4,782.0,75.0,878.0,66.0,1685.0,1000.0,23.4,58.6,1.6651,Good
2.4,1094.0,11.3,1023.0,360.0,708.0,121.0,1219.0,1246.0,8.1,53.2,0.5746,Moderate
2.4,1166.0,8.9,935.0,357.0,756.0,114.0,1301.0,1135.0,16.5,55.3,1.0267,Moderate
1.4,944.0,3.7,693.0,216.0,927.0,150.0,831.0,568.0,9.2,29.9,0.3479,Good
1.7,1222.0,9.0,937.0,91.0,883.0,89.0,1610.0,879.0,25.6,36.0,1.1629,Moderate
1.8,1238.0,7.4,872.0,104.0,985.0,99.0,1546.0,1250.0,14.8,54.7,0.9164,Good
1.3,986.0,4.3,727.0,73.0,1212.0,70.0,1244.0,501.0,18.2,28.3,0.5848,Good
1.6,1093.0,5.5,789.0,240.0,771.0,127.0,1206.0,948.0,13.5,63.4,0.9755,Good
1.6,1073.0,6.4,831.0,244.0,748.0,119.0,1230.0,934.0,13.5,59.9,0.9261,Good
1.3,838.0,4.0,711.0,180.0,1029.0,94.0,990.0,711.0,11.3,40.3,0.5406,Good
2.2,926.0,10.9,1009.0,132.0,904.0,110.0,1525.0,720.0,19.7,28.5,0.6445,Moderate
3.0,1210.0,22.2,1355.0,183.0,656.0,100.0,1786.0,1480.0,16.3,27.5,0.5066,Poor
2.0,921.0,6.7,842.0,268.0,849.0,139.0,857.0,675.0,2.1,36.6,0.2634,Good
3.7,1211.0,19.8,1289.0,311.0,605.0,156.0,1913.0,1642.0,24.0,36.4,1.0706,Poor
3.0,1296.0,16.1,1182.0,159.0,764.0,130.0,1773.0,1241.0,23.6,31.3,0.9001,Moderate
2.1,1167.0,15.4,1160.0,140.0,670.0,132.0,1783.0,1192.0,40.1,17.5,1.2721,Moderate
3.5,1286.0,21.6,1339.0,230.0,698.0,194.0,2008.0,1266.0,39.6,16.7,1.1867,Poor
6.7,1747.0,37.1,1709.0,515.0,398.0,128.0,2369.0,1875.0,24.0,50.6,1.4892,Poor
1.3,966.0,9.3,950.0,123.0,812.0,77.0,1734.0,995.0,18.3,60.8,1.2635,Moderate
1.7,1121.0,7.4,873.0,317.0,697.0,195.0,1205.0,1000.0,6.7,76.2,0.7519,Good
1.7,1005.0,9.8,971.0,279.0,834.0,102.0,1513.0,952.0,22.9,47.9,1.3208,Moderate
2.7,1225.0,10.1,981.0,359.0,655.0,89.0,1357.0,1236.0,11.2,78.3,1.0415,Moderate
0.0,746.0,0.2,390.0,20.0,1775.0,19.0,737.0,265.0,3.3,52.8,0.4137,Good
3.9,1428.0,18.4,1250.0,249.0,734.0,146.0,1754.0,1548.0,18.3,26.6,0.5529,Poor
