Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Column 16,Column 17
2004-03-09T18:30:00Z,18:00:00,2.6,1360,150,11.9,1045,166,1056,113,1692,1267,13.6,48.9,0.7578,,
2004-03-09T18:30:00Z,19:00:00,2,1292,112,9.4,954,103,1173,92,1558,972,13.3,47.7,0.7255,,
2004-03-09T18:30:00Z,20:00:00,2.2,1402,88,9.0,939,131,1140,114,1554,1074,11.9,54.0,0.7502,,
2004-03-09T18:30:00Z,21:00:00,2.2,1375,80,9.2,948,172,1092,122,1583,1203,11.0,60.0,0.7867,,
2004-03-09T18:30:00Z,22:00:00,1.6,1272,51,6.5,835,131,1205,116,1490,1110,11.2,59.6,0.7888,,
2004-03-09T18:30:00Z,23:00:00,1.2,1197,38,4.7,750,89,1336,96,1393,949,11.2,59.2,0.7848,,
2004-03-10T18:30:00Z,0:00:00,1.2,1185,31,3.6,689,62,1461,77,1332,732,11.3,56.8,0.7603,,
2004-03-10T18:30:00Z,1:00:00,1,1136,31,3.3,672,62,1453,76,1332,729,10.7,60.0,0.7702,,
2004-03-10T18:30:00Z,2:00:00,0.9,1094,24,2.3,608,45,1579,60,1276,619,10.7,59.7,0.7648,,
2004-03-10T18:30:00Z,3:00:00,0.6,1009,19,1.7,560,,1705,,1234,501,10.3,60.2,0.7517,,
2004-03-10T18:30:00Z,4:00:00,,1011,14,1.3,526,21,1817,34,1196,445,10.1,60.5,0.7465,,
2004-03-10T18:30:00Z,5:00:00,0.7,1066,8,1.1,512,16,1918,28,1182,421,11.0,56.2,0.7366,,
2004-03-10T18:30:00Z,6:00:00,0.7,1051,16,1.6,553,34,1738,48,1221,471,10.5,58.1,0.7353,,
2004-03-10T18:30:00Z,7:00:00,1.1,1144,29,3.2,667,98,1489,82,1339,729,10.2,59.6,0.7417,,
2004-03-10T18:30:00Z,8:00:00,2,1333,64,8.0,899,174,1136,112,1517,1101,10.8,57.4,0.7408,,
2004-03-10T18:30:00Z,9:00:00,2.2,1351,87,9.5,960,129,1079,101,1582,1027,10.5,60.6,0.7691,,
2004-03-10T18:30:00Z,10:00:00,1.7,1233,77,6.3,827,112,1218,98,1445,859,10.8,58.4,0.7552,,
2004-03-10T18:30:00Z,11:00:00,1.5,1178,43,5.0,762,95,1327,92,1361,670,10.5,57.9,0.7352,,
2004-03-10T18:30:00Z,12:00:00,1.6,1236,61,5.2,774,104,1301,95,1401,664,9.5,66.8,0.7951,,
2004-03-10T18:30:00Z,13:00:00,1.9,1285,63,7.3,868,146,1162,112,1536,799,8.3,76.4,0.8393,,
2004-03-10T18:30:00Z,14:00:00,2.9,1371,164,11.5,1033,207,983,128,1730,1036,8.0,81.1,0.8736,,
2004-03-10T18:30:00Z,15:00:00,2.2,1310,79,8.8,932,184,1081,126,1646,946,8.3,79.8,0.8778,,
2004-03-10T18:30:00Z,16:00:00,2.2,1291,95,8.3,911,193,1102,131,1590,956,9.7,71.2,0.8569,,
2004-03-10T18:30:00Z,17:00:00,2.9,1383,150,11.2,1019,243,1008,135,1718,1104,9.8,67.6,0.8185,,
2004-03-10T18:30:00Z,18:00:00,4.8,1580,307,20.8,1318,281,798,151,2083,1408,10.3,64.2,0.8065,,
2004-03-10T18:30:00Z,19:00:00,6.9,1775,461,27.4,1487,383,702,172,2332,1704,9.7,69.3,0.8319,,
2004-03-10T18:30:00Z,20:00:00,6.1,1640,401,24.0,1404,351,742,165,2191,1653,9.6,67.8,0.8133,,
2004-03-10T18:30:00Z,21:00:00,3.9,1312,197,12.8,1076,240,957,136,1706,1284,9.1,64.0,0.7419,,
2004-03-10T18:30:00Z,22:00:00,1.5,964,61,4.7,748,94,1325,85,1332,821,8.2,63.4,0.6905,,
2004-03-10T18:30:00Z,23:00:00,1,912,26,2.6,629,47,1564,53,1252,551,8.2,60.8,0.6657,,
