CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQualityCategory
2.2,1181.0,14.2,1122.0,261.0,729.0,166.0,1707.0,1526.0,34.6,21.1,1.1398,Moderate
4.4,1422.0,25.0,1428.0,649.0,467.0,88.0,1997.0,1631.0,16.3,74.3,1.3644,Poor
1.5,1009.0,8.3,911.0,196.0,787.0,111.0,1359.0,1176.0,19.8,47.7,1.0885,Moderate
1.4,1031.0,8.7,929.0,79.0,758.0,77.0,1722.0,809.0,30.5,44.4,1.9076,Moderate
2.2,1132.0,12.1,1051.0,233.0,680.0,117.0,1608.0,944.0,28.5,37.3,1.4291,Moderate
0.7,799.0,4.0,708.0,48.0,1077.0,68.0,1332.0,461.0,35.2,20.5,1.1418,Good
1.5,977.0,9.9,973.0,99.0,864.0,94.0,1550.0,712.0,36.3,16.0,0.9465,Moderate
2.7,1053.0,13.3,1093.0,236.9796848547988,873.0,110.3925641359552,1748.0,923.0,26.2,32.6,1.0892,Moderate
2.4,1179.0,14.6,1136.0,132.0,829.0,87.0,1651.0,948.0,27.2,22.0,0.7785,Moderate
2.1,1302.0,11.0,1014.0,139.0,776.0,96.0,1730.0,1250.0,23.7,40.0,1.153,Moderate
2.6,1369.0,14.0,1117.0,505.0,494.0,150.0,1458.0,1406.0,10.4,62.7,0.7909,Moderate
1.9,1049.0,8.7,926.0,88.0,830.0,106.0,1475.0,835.0,29.7,24.2,0.9926,Moderate
3.9,1419.0,19.3,1276.0,495.0,458.0,144.0,1602.0,1630.0,13.3,61.2,0.933,Poor
0.9,886.0,4.6,743.0,27.0,868.0,36.0,1589.0,699.0,24.1,61.8,1.8339,Good
2.3,1049.0,13.0,1084.0,305.0,747.0,117.0,1402.0,1153.0,26.2,24.4,0.8174,Moderate
0.3,830.0,6.2,822.0,52.0,1085.0,65.5,1418.0,709.0,17.8,44.8,0.9048,Good
3.5,1355.0,21.3,1333.0,590.0,740.0,157.0,1690.0,1604.0,25.0,28.9,0.9025,Poor
1.5,868.0,7.9,897.0,104.0,965.0,106.0,1479.0,649.0,29.6,21.0,0.8548,Moderate
0.7,952.0,3.7,694.0,56.0,910.0,39.0,1428.0,626.0,22.2,65.6,1.7355,Good
1.2,1029.0,7.5,879.0,182.0,708.0,47.0,1450.0,964.0,17.3,78.4,1.532,Good
1.1,811.0,3.0,651.0,210.0,1585.0,106.0,963.0,554.0,9.1,49.6,0.5765,Good
1.7,1103.0,9.2,946.0,87.0,736.0,89.0,1686.0,934.0,36.6,26.5,1.599,Moderate
2.2,1202.0,11.2,1020.0,236.9796848547988,649.0,110.3925641359552,1644.0,1226.0,31.3,32.9,1.4771,Moderate
1.2,931.0,7.7,885.0,86.0,892.0,101.0,1466.0,584.0,26.9,27.1,0.948,Good
1.7,1027.0,10.1,980.0,120.0,816.0,108.0,1630.0,1022.0,28.2,28.7,1.0806,Moderate
0.5,827.0,3.1,656.0,55.0,1074.0,60.0,1446.0,722.0,24.0,46.4,1.3689,Good
0.9,788.0,3.4,675.0,95.0,1121.0,50.0,974.0,482.0,16.8,32.1,0.6073,Good
5.5,1431.0,13.5,1099.0,503.0,553.0,154.0,1385.0,1913.0,9.5,66.2,0.7882,Moderate
0.9,1023.0,2.7,630.0,105.0,862.0,66.0,1240.0,544.0,16.2,71.9,1.3171,Good
